FIPS,bronze.rate,silver.rate,gold.rate,Column1,bronze percent difference,Column3,Column4,Column5,Class,,,26,,,,,,,,,
54045,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.140123988,2,,-24%,18
54047,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.142030705,1,,-29%,23
54049,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.138034245,1,,-27%,59
54051,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.125795169,1,,-22%,49
54053,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.137000624,1,,-25%,1
54055,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.130254703,5,,-28%,2
54057,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.189047369,1,,-31%,9
54059,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.205677024,1,,-26%,7
54061,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.201518628,2,,-40%,13
54063,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.169642993,1,,-35%,1
54065,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.133107167,2,,-41%,9
54067,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.120355551,1,,-43%,2
54069,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.251357972,3,,,
54071,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.160093737,63,,,
54073,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.128516361,1,,,
54075,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.145396525,1,,,
54077,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.104154475,1,,,
54079,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.142696041,1,,,
54081,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.137872875,1,,,
54083,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.12045702,1,,,
54085,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.088586379,1,,,
54087,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.140507011,1,,,
54089,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.138157146,1,,,
54091,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.141699736,1,,,
54093,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.137597032,1,,,
54095,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.14079011,2,,,
54097,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.140231858,1,,,
54099,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.139766385,1,,,
54101,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.115049412,5,,,
54103,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.093445179,2,,,
54105,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.178140831,2,,,
54107,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.138109399,1,,,
54109,506.5137879,627.5250758,687.4297403,2.748157128,56%,58.889%,52.314%,55.849%,h,,,,,,,0.56,0.173552121,1,,,
12123,446.1505075,662.0453234,694.9484328,2.420648216,38%,67.629%,53.980%,53.107%,h,,,,,,,0.38,0.106851282,1,,,
37103,465.4721053,568.1154737,704.1833333,2.525480085,44%,43.847%,56.026%,47.849%,j,,,,,,,0.44,0.107137798,1,,,
37107,465.4721053,568.1154737,704.1833333,2.525480085,44%,43.847%,56.026%,47.849%,j,,,,,,,0.44,0.103166744,3,,,
37123,465.4721053,568.1154737,704.1833333,2.525480085,44%,43.847%,56.026%,47.849%,j,,,,,,,0.44,0.316933934,3,,,
37125,465.4721053,568.1154737,704.1833333,2.525480085,44%,43.847%,56.026%,47.849%,j,,,,,,,0.44,0.17548157,2,,,
37137,465.4721053,568.1154737,704.1833333,2.525480085,44%,43.847%,56.026%,47.849%,j,,,,,,,0.44,0.116024565,1,,,
34033,443.808,580.3844444,685.9075,2.407938634,37%,46.953%,51.977%,45.306%,j,,,,,,,0.37,0.111096028,1,,,
31173,454.8916667,591.2844444,657.4308333,2.468074524,40%,49.713%,45.667%,45.263%,j,,,,,,,0.4,0.226961967,4,,,
31001,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.352511135,1,,,
31003,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.189487218,9,,,
31005,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.073605174,1,,,
31007,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.224275821,1,,,
31009,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.304069372,1,,,
31011,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.337725164,2,,,
31013,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.100699736,1,,,
